Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2005,Rural Building Lot No. 997,24 Shouson Hill Road Shouson Hill,Residential R3,41570000,SOUTHERN,21 July 2005
2005,Marine Lot No. 2 Marine Lot No. 2A Marine Lot No. 2C Marine Lot No. 3 Marine Lot No. 7 and Inland Lot No. 3087,The Land Mark Central,Commercial,1500000,CENTRAL & WESTERN,24 June 2005
2005,Kwai Chung Town Lot No. 270,1-11 Yiu Wing Street Kwai Chung,Other Uses,100000,KWAI TSING,20 June 2005
2005,Inland Lot No. 7106 Section A and the Extension thereto,15-17 Oil Street North Point,Hotel,942180000,EASTERN,14 June 2005
2005,Fanling Sheung Shui Town Lot No. 176,On Lok Tsuen Fanling,Industrial / Godown,510000,NORTH,7 June 2005
2005,Tseung Kwan O Town Lot No. 45,15 Po Lam Lane Tseung Kwan O,Institution / Community,10830000,SAI KUNG,3 June 2005
2002,Rural Building Lot No. 428,110 Repulse Bay Road Repulse Bay,Residential R3,8000000,SOUTHERN,23 March 2002
2002,Kwai Chung Town Lot No. 98,56 Kwai Cheong Road Kwai Chung,Other Uses,1560000,KWAI TSING,12 March 2002
2002,Inland Lot No. 7385,25 Cooper Road Jardine's Lookout,Residential R3,300000,WAN CHAI,7 March 2002
2009,Kowloon Inland Lot No. 9786,19 21 and 23 Austin Avenue Tsim Sha Tsui,Commercial,23320000,YAU TSIM MONG,10 September 2009
2009,Rural Building Lot No. 398,72 Mount Kellett Road The Peak,Residential R3,21130000,CENTRAL & WESTERN,28 August 2009
2003,Chai Wan Marine Lot No. 2,Chong Fu Road Chai Wan,Other Uses,13980000,EASTERN,26 March 2003
2003,Kowloon Inland Lot No. 8152,145-151A Kau Pui Lung Road Kowloon City,Residential R1,310000,KOWLOON CITY,25 March 2003
2003,Tuen Mun Town Lot No. 388,38 Hoi Wah Road Tuen Mun,Godown,17000000,TUEN MUN,16 March 2003
2003,Kwai Chung Town Lot No. 463,8 Kwai Cheong Road Kwai Chung,Non Residential,6000000,KWAI TSING,14 March 2003
2003,Lot No. 742 in Demarcation District No. 332,Cheung Sha Ha Tsuen Lantau Island,Village Type Development,997,ISLANDS,11 March 2003
2003,Kwai Chung Town Lot No. 448,Area 10G Kwai Chung,Industrial Office,49940,KWAI TSING,10 March 2003
2002,Tsuen Wan Town Lot No. 373,Ma Tau Pa Road and Yeung Uk Road Tsuen Wan,Commercial / Residential,488320000,TSUEN WAN,21 February 2002
2005,Inland Lot No. 7898 Section A and Inland Lot No. 7898 Remaining Portion,39 Conduit Road Mid-Levels,Residential R2,343360000,CENTRAL & WESTERN,23 May 2005
2005,Kwun Tong Inland Lot No. 705,111 How Ming Street Kwun Tong,Non Residential,98030000,KWUN TONG,19 May 2005
2005,Tseung Kwan O Town Lot No. 85,Area 106 Tseung Kwan O,Other Uses,620000,SAI KUNG,6 May 2005
2005,New Kowloon Inland Lot No. 4795,712 Prince Edward Road East and 112 King Fuk Street San Po Kong,Non Residential,138840000,WONG TAI SIN,18 April 2005
2003,Lot No. 2543 in Demarcation District No. 92,Kam Tsin Sheung Shui,Residential R4,300000,NORTH,19 February 2003
2003,Kwun Tong Inland Lot No. 191,Portions of G/F & 1/F of Silver Theatre Building 88 & 90 Fu Yan Street Kwun Tong,Commercial,7000000,KWUN TONG,14 February 2003
2003,Lot No. 1144 in Demarcation District No. 215,Tui Min Hoi Sai Kung,Residential R3,100000,SAI KUNG,13 February 2003
2003,Kwai Chung Town Lot No. 262,Portions of LG/F.G/F.1/F.3/F. & Whole 2/F. Fortuna House 118 Lei Muk Road Kwai Chung,Commercial,600000,KWAI TSING,12 February 2003
2003,New Kowloon Inland Lot No. 5877,Junction of Sheung Yee Road & Wang Chiu Road Kowloon Bay,Other Uses,12000000,KWUN TONG,8 February 2003
2003,Kowloon Inland Lot No. 4234 Section A,377 Prince Edward Road West Kowloon City,Residential R2,32500000,KOWLOON CITY,30 January 2003
2002,Rural Building Lot No. 586 and the Extension thereto,91 Repulse Bay Road Repulse Bay,Residential R3,300000,SOUTHERN,31 December 2002
2002,Rural Building Lot No. 1137,20-22 Severn Rd The Peak,Residential R3,1200000,CENTRAL & WESTERN,25 October 2002
2005,Yuen Long Town Lot No. 497,Tak Yip Street Tung Tau Industrial Area Yuen Long,Industrial / Godown,1970000,YUEN LONG,31 March 2005
2005,Kowloon Inland Lot No. 11080,1 Austin Road West Tsim Sha Tsui,Commercial / Residential,8000000,YAU TSIM MONG,31 March 2005
2005,Kowloon Inland Lot No. 11080,1 Austin Road West Tsim Sha Tsui,Commercial / Residential,2000000,YAU TSIM MONG,31 March 2005
2005,Tsuen Wan Town Lot No. 361,398 Castle Peak Road Tsuen Wan,Residential R1,1000000,TSUEN WAN,17 March 2005
2005,Kowloon Inland Lot No. 10754,187 Prince Edward Road West Mong Kok,Other Uses,100000,YAU TSIM MONG,15 March 2005
2005,Inland Lot No. 7350,350 Tai Hang Road Tai Hang,Residential R2,26210000,WAN CHAI,10 March 2005
2005,Inland Lot No. 8079,60 Victoria Road Kennedy Town,Residential R1,113150000,CENTRAL & WESTERN,3 March 2005
2005,New Kowloon Inland Lot No. 6280,J/O Sheung Yee Road & Wang Tai Road Kowloon Bay,Non Residential,98470000,KWUN TONG,25 February 2005
2002,Yuen Long Town Lot No. 503 Remaining Portion and the Extension thereto,Kai Tei Yuen Long,Residential R1,246500000,YUEN LONG,7 February 2002
2002,Tuen Mun Town Lot No. 425,J/O Ho Tin Street and Kin Fat Street Tuen Mun,Industrial,50000,TUEN MUN,23 January 2002
2002,Tuen Mun Town Lot No. 226,8 Ho Tin Street Tuen Mun,Industrial,50000,TUEN MUN,23 January 2002
2002,New Kowloon Inland Lot No. 6328,Lai Chi Kok Road Cheung Sha Wan,Commercial / Residential,182750000,SHAM SHUI PO,21 January 2002
2002,Kowloon Inland Lot No. 11070,2-8 62-62A Kimberley Road & 9-11 Observatory Road Tsim Sha Tsui,Commercial,6500000,YAU TSIM MONG,17 January 2002
2001,Tsuen Wan Town Lot No. 369,Tai Uk Wai Tsuen Wan,Commercial / Residential,900000,TSUEN WAN,21 December 2001
2002,Lot No. 2515 in Demarcation District No. 3,Fui Yiu Ha Tung Chung,Village Type Development,48200,ISLANDS,18 October 2002
2002,Inland Lot No. 6399,79 Sing Woo Road Happy Valley,Residential R2,300000,WAN CHAI,17 October 2002
2002,Kwun Tong Inland Lot No. 242,102 How Ming Street Kwun Tong,Commercial,18500000,KWUN TONG,17 September 2002
2002,Tin Shui Wai Town Lot No. 27,Tin Shui Wai Area 108B Yuen Long,Residential R1,600000,YUEN LONG,9 September 2002
2002,Kwun Tong Inland Lot No. 53,1 Hing Yip Street Kwun Tong,Non Residential,27000000,KWUN TONG,2 September 2002
2002,New Kowloon Inland Lot No. 2802,1 Derby Road Kowloon Tong,Residential R3,600000,KOWLOON CITY,29 August 2002
2006,Aberdeen Inland Lot No. 365,238-242 Aberdeen Main Road Aberdeen,Commercial / Residential,189250000,SOUTHERN,6 September 2006
2006,Inland Lot No. 8953 Section F and Remaining Portion,URA Project H9 Wan Chai Road/Tai Yuen Street Wan Chai,Commercial / Residential,304410000,WAN CHAI,5 September 2006
2006,Tseung Kwan O Town Lot No. 24,15 Pui Shing Road Hang Hau Tseung Kwan O,Commercial / Residential,450000,SAI KUNG,29 August 2006
2006,New Kowloon Inland Lot No. 1750 Section A,G/F & 1/F. 654 & 656 Castle Peak Road Lai Chi Kok,Industrial,2340000,SHAM SHUI PO,23 August 2006
2006,Kwai Chung Lot No. 7 and the Extension thereto,Container Port Road Kwai Chung,Other Uses,1350000,KWAI TSING,3 August 2006
2005,Lot No. 747 in Demarcation District No. 332,Cheung Sha Lantau Island,Residential R3,3000000,ISLANDS,4 February 2005
2005,New Kowloon Inland Lot No. 6032,1 Trademart Drive Kowloon Bay,Other Uses,201820000,KWUN TONG,20 January 2005
2005,New Kowloon Inland Lot No. 5788,171 Shatin Pass Road Tsz Wan Shan,Other Uses,830000,WONG TAI SIN,4 January 2005
2004,Tseung Kwan O Town Lot No. 73,Area 73b Tseung Kwan O,Commercial / Residential,310000,SAI KUNG,18 December 2004
2004,Tsuen Wan Town Lot No. 353,J/O Yeung Uk Road & Tai Hoi Road Tsuen wan,Commercial,11240000,TSUEN WAN,13 December 2004
2004,Rural Building Lot No. 1169,3-5 Gough Hill Path The Peak,Residential R4,1550000,CENTRAL & WESTERN,6 December 2004
2004,Yuen Long Town Lot No. 461,Wang Yip Street Tung Tau Industrial Area,Industrial,3790000,YUEN LONG,27 November 2004
2004,Yuen Long Town Lot No. 499,Tai Tong Road Yuen Long,Residential R2,7940000,YUEN LONG,19 November 2004
2004,Kwai Chung Town Lot No. 266,Wo Yi Hop Road Kwai Chung,Commercial / Residential,3290000,KWAI TSING,17 November 2004
2001,Kowloon Inland Lot No. 11076,Hung Hom Bay Reclamation Area,Private Sector Participation Scheme,300000,KOWLOON CITY,6 December 2001
2001,Kwun Tong Inland Lot No. 16,410 Kwun Tong Road Kwun Tong,Commercial,27780000,KWUN TONG,5 December 2001
2006,New Kowloon Inland Lot No. 4152,44 Oxford Road Kowloon Tong,Residential R2,2400000,KOWLOON CITY,12 July 2006
2006,Lot No. 369 in Demarcation District No. 224,850 Clear Water Bay Road Sai Kung,Residential R4,1802000,SAI KUNG,6 July 2006
2006,Inland Lot No. 23 Remaining Portion,100 Queen's Road Central,Commercial,5050000,CENTRAL & WESTERN,29 June 2006
2002,Tsuen Wan Town Lot No. 395,Area 40 Route Twisk Tsuen Wan,Residential R2,300000,TSUEN WAN,19 August 2002
2002,Fanling Sheung Shui Town Lot No. 11,6 Yip Cheong Street On Lok Tsuen Fanling,Industrial,50000,NORTH,12 August 2002
2002,Rural Building Lot No. 536 and the Extension thereto,35 Deep Water Bay Road Shouson Hill,Residential R3,2200000,SOUTHERN,2 August 2002
2002,Tuen Mun Town Lot No. 424,Tsing Fat Lane Tuen Mun,Residential R2,28500,TUEN MUN,24 July 2002
2002,Tseung Kwan O Town Lot No. 43,88 Po Hong Road Tseung Kwan O,Residential R1,462970000,SAI KUNG,24 July 2002
2001,Rural Building Lot No. 1132,129 Repulse Bay Road Repulse Bay,Residential R3,300000,SOUTHERN,28 November 2001
2001,Lot No. 4960 Remaining Portion in Demarcation District No. 51,Pak Fuk Tsuen Fanling,Residential R3,760000,NORTH,22 November 2001
2001,New Kowloon Inland Lot No. 3750,2 Lancashire Road and 134 Waterloo Road Kowloon Tong,Institution / Community,260000,KOWLOON CITY,16 November 2001
2004,Inland Lot No. 2316,31 Queen's Road Central Central,Commercial,138650000,CENTRAL & WESTERN,19 October 2004
2004,Kwun Tong Inland Lot No. 653,370 Kwun Tong Road Kwun Tong,Commercial,2610000,KWUN TONG,18 October 2004
2004,Inland Lot No. 8852,3-9 Aberdeen Street/1 Kau U fong/1 Gough Street Central,Commercial / Residential,830000,CENTRAL & WESTERN,8 September 2004
2004,Yau Tong Inland Lot No. 21,19 Sze Shan Street Yau Tong,Commercial / Residential,191940000,KWUN TONG,26 August 2004
2002,Rural Building Lot No. 168 Section A Subsection 1,117 Repulse Bay Road Repulse Bay,Residential R3,110000000,SOUTHERN,13 July 2002
2002,Inland Lot No. 2302 Section Q and the Extension thereto Inland Lot No. 2302 Section R and the Extension thereto,8A-8F Shiu Fai Terrace Happy Valley,Residential R2,98000000,WAN CHAI,11 July 2002
2006,Lot No. 2231 in Demarcation District No. 119,Kung Um Road Pak Sha Tsuen Yuen Long,Residential R4,25080000,YUEN LONG,15 June 2006
2006,Rural Building Lot No. 239 Section A Subsection 1,32 & 34 Stanley Village Road Stanley,Residential R3,8980000,SOUTHERN,6 June 2006
2006,Lot No. 4773 in Demarcation District No. 104,Wai Tsai Ngau Tam Mei Road Yuen Long,Residential R4,32400000,YUEN LONG,3 June 2006
2006,Lot No. 3647 in Demarcation District No. 120 Lot No. 3651 in Demarcation District No. 120 and Lot No. 3658 in Demarcation District No. 120,116-120 Castle Peak Road Yuen Long,Commercial,1000000,YUEN LONG,12 May 2006
2006,Kowloon Inland Lot No. 11082,1/F 8 Hoi Ting Road Yau Ma Tei,Other Uses,380000,YAU TSIM MONG,28 April 2006
2006,Rural Building Lot No. 380,38 Repulse Bay Road Repulse Bay,Residential R3,43130000,SOUTHERN,18 April 2006
2002,Rural Building Lot No. 365 Section A,57 Shouson Hill Road Shouson Hill,Residential R2,1500000,SOUTHERN,10 July 2002
2002,Tsuen Wan Town Lot No. 404,Area 40 Route Twisk Tsuen Wan,Residential R2,1790000,TSUEN WAN,9 July 2002
2015,New Kowloon Inland Lot No. 4109,10 Hereford Road Kowloon Tong,Residential R2,33830000,KOWLOON CITY,26 November 2015
2014,Rural Building Lot No. 324,128 Pok Fu Lam Road Pok Fu Lam,Residential R3,172810000,SOUTHERN,23 April 2014
2015,Tai Po Town Lot No. 181,101 Chong San Road Tai Po,Other Uses,160000,TAI PO,15 May 2015
2015,Kwun Tong Inland Lot No. 242 Remaining Portion,100 How Ming Street Kwun Tong,Non Residential,6080000,KWUN TONG,26 November 2015
2015,Rural Building Lot No. 544,47 Barker Road The Peak,Residential R3,103210000,CENTRAL & WESTERN,13 May 2015
2015,Inland Lot No. 8571,Pacific Place Phase I 88 Queensway,Commercial / Residential,6520000,CENTRAL & WESTERN,21 April 2015
2015,Hung Hom Inland Lot No. 519,88-90 Wuhu Street Hung Hom,Hotel or Residential R1,17470000,KOWLOON CITY,2 November 2015
2015,Tsuen Wan Town Lot No. 307,Commercial and Multi-purpose Community Building Clague Garden Estate 22-30 Hoi Shing Road Tsuen Wan,Commercial / Residential,1000000,TSUEN WAN,29 October 2015
2015,Aberdeen Inland Lot No. 282,23 Wong Chuk Hang Road Aberdeen,Commercial,10470000,SOUTHERN,28 October 2015
2015,New Kowloon Inland Lot No. 5744 and New Kowloon Inland Lot No. 6201,33 Wai Yip Street Kowloon Bay,Commercial / Other Uses,298480000,KWUN TONG,20 October 2015
2013,Kwun Tong Inland Lot No. 505 Section A,97 How Ming Street Kwun Tong,Hotel,167930000,KWUN TONG,27 June 2013
2013,Inland Lot No. 6473 Remaining Portion,3 Comfort Terrace North Point,Residential R2,38740000,EASTERN,6 June 2013
2013,Inland Lot No. 8852 Remaining Portion,3 Kau U Fong Central,Commercial / Residential,840000,CENTRAL & WESTERN,3 June 2013
2016,Chai Wan Inland Lot No. 40,Fourth Floor 121 Wan Tsui Road Chai Wan,Other Uses,6020000,EASTERN,27 April 2016
2016,Aberdeen Inland Lot No. 360,4 Yip Fat Street Wong Chuk Hang,Non Residential,52940000,SOUTHERN,25 April 2016
2014,Lot No. 1780 in Demarcation District No. 221,Tai Mong Tsai Road Sai Kung,Hotel,300000,SAI KUNG,9 July 2014
2014,Rural Building Lot No. 721,43 Island Road Deep Water Bay,Residential R3,108130000,SOUTHERN,6 November 2014
2016,Kowloon Inland Lot No. 8798 and Kowloon Inland Lot No. 9103 Remaining Portion,1 Chi Wo Street Yau Ma Tei,Hotel,1630000,YAU TSIM MONG,12 September 2016
2014,New Kowloon Inland Lot No. 2091,Unit C and Unit D First Floor 500 Castle Peak Road Cheung Sha Wan,Godown,1790000,SHAM SHUI PO,15 October 2014
2014,Rural Building Lot No. 837,16 and 18 Cape Road Chung Hom Kok,Residential R3,122150000,SOUTHERN,28 October 2014
2014,Inland Lot No. 2138 Remaining Portion,53 Conduit Road Mid-Levels,Residential R3,194490000,CENTRAL & WESTERN,28 October 2014
2014,Kowloon Inland Lot No. 3359,123 Argyle Street Mong Kok,Institution / Community,160000,KOWLOON CITY,9 October 2014
2013,Fanling Sheung Shui Town Lot No. 73,48 Lung Sum Avenue Sheung Shui,Commercial / Residential,208220000,NORTH,16 April 2013
2013,Rural Building Lot No. 598,41 Island Road Deep Water Bay,Residential R3,33740000,SOUTHERN,3 April 2013
2013,Tsuen Wan Town Lot No. 361,Commercial Podium Discovery Park 398 Castle Peak Road Tsuen Wan,Residential R1,840000,TSUEN WAN,5 March 2013
2013,Kwai Chung Town Lot No. 298 Remaining Portion,Lai King Hill Road Kwai Chung,Residential R1,840000,KWAI TSING,7 February 2013
2017,New Kowloon Inland Lot No. 4329,12 Hereford Road Kowloon Tong,Residential R3,24440000,KOWLOON CITY,14 December 2017
2017,Tai Po Town Lot No. 229,Lo Fai Road Tai Po,Residential R3,8400000,TAI PO,19 December 2017
2017,Tai Po Town Lot No. 223,Lo Fai Road Tai Po,Residential R3,8400000,TAI PO,19 December 2017
2014,Rural Building Lot No. 1020 Remaining Portion and Extensions,Ocean Park Wong Chuk Hang,Hotel,1648000000,SOUTHERN,16 September 2014
2014,Inland Lot No. 8528,26 Harbour Road Wan Chai,Commercial,120000000,WAN CHAI,18 August 2014
2014,Inland Lot No. 2962 Section A Subsection 1 Inland Lot No. 2962 Section A Remaining Portion Inland Lot No. 2962 Section B and Inland Lot No. 2962 Section C,29-31 Yuk Sau Street and 21-23 Village Road Happy Valley,Residential R1,19730000,WAN CHAI,5 March 2014
2014,Rural Building Lot No. 339 and Extension,3 Deep Water Bay Road Deep Water Bay,Residential R3,197610000,SOUTHERN,14 February 2014
2017,Lot No. 1588 in Demarcation District No. 243,15 Pik Sha Road Silverstrand Sai Kung,Residential R4,1850000,SAI KUNG,6 December 2017
2017,New Kowloon Inland Lot No. 803,139 Waterloo Road Kowloon Tong,Residential R3,84040000,KOWLOON CITY,16 November 2017
2017,Tsing Yi Town Lot No. 180,36 Tsing Yi Hong Wan Road Tsing Yi,Other Uses,8000000,KWAI TSING,2 November 2017
2020,Rural Building Lot No. 117 Section A and Rural Building Lot No. 117 Remaining Portion,34 Mount Kellett Road Mid-Levels,Virtually Unrestricted,5980000,CENTRAL & WESTERN,27 April 2020
2020,Tsun Wan Inland Lot No. 28 Remaining Portion,Sha Tsui Road Tsuen Wan,Non Residential,1414620000,TSUEN WAN,21 August 2020
2020,Lot No. 540 in Demarcation District No. 238,Sai Kung,Residential R3,6010000,SAI KUNG,4 December 2020
2020,Aberdeen Inland Lot No. 364,24 Wong Chuk Hang Road Wong Chuk Hang,Commercial,1008000000,SOUTHERN,24 December 2020
2020,New Kowloon Inland Lot No. 3877,Workshop No. 1 on Ground Floor 912-914 Cheung Sha Wan Road Lai Chi Kok,Non Residential,16710000,SHAM SHUI PO,21 October 2020
2020,Kwai Chung Town Lot No. 495,11 Kin Chuen Street Kwai Chung,Non Residential,5520000,KWAI TSING,2 November 2020
2014,Kowloon Inland Lot No. 11158,Portions of the Commercial Accommodation and the Commercial Carpark of One SilverSea 18 Hoi Fai Road Tai Kok Tsui,Hotel,86260000,YAU TSIM MONG,28 January 2014
2014,Tsing Yi Town Lot No. 135,31 Tsing King Road Tsing Yi,Commercial Lorry Park and Public Transport Terminus,1261510000,KWAI TSING,27 January 2014
2016,Inland Lot No. 8280 Remaining Portion,17A-17B Ventris Road Happy Valley,Residential R3 / <br/>Institution / Community,70980000,WAN CHAI,21 November 2016
2016,Kowloon Inland Lot No. 10743,33 Canton Road Tsim Sha Tsui,Commercial / Other Uses,1100000,YAU TSIM MONG,8 November 2016
2020,Kwai Chung Town Lot No. 329,2-6 Wing Lap Street Kwai Chung,Other Uses,1497880000 (By annual instalments),KWAI TSING,3 September 2020
2020,Lot No. 308 in Demarcation District No. 355,Tsuen Wan,Non Residential,492880000,TSUEN WAN,1 September 2020
2020,Tuen Mun Town Lot No. 201,Tuen Mun,Other Uses,1380000,TUEN MUN,9 September 2020
2016,Kwun Tong Inland Lot No. 502 Section A Kwun Tong Inland Lot No. 502 Section B and Kwun Tong Inland Lot No. 502 Remaining Portion,392 Kwun Tong Road Kwun Tong,Commercial,3350000,KWUN TONG,25 October 2016
2016,Aberdeen Inland Lot No. 152 Remaining Portion,39 Wong Chuk Hang Road Wong Chuk Hang,Industrial,5490000,SOUTHERN,19 October 2016
2016,Kwun Tong Inland Lot No. 240,98 How Ming Street Kwun Tong,Commercial,4305000000,KWUN TONG,25 October 2016
2016,Inland Lot No. 7106 Section B Inland Lot No. 7106 Section C and Inland Lot No. 7106 Remaining Portion and Extension,14-30 King Wah Road North Point,Commercial,2218690000,EASTERN,25 October 2016
2016,Kwai Chung Town Lot No. 145,7-11 Wing Kin Road Kwai Chung,Other Uses,210000,KWAI TSING,13 October 2016
2014,Hung Hom Inland Lot No. 529,84-86 Wuhu Street Hung Hom,Hotel or Residential R1,44470000,KOWLOON CITY,24 November 2014
2013,Kwai Chung Town Lot No. 330,24-28 Wing Lap Street Kwai Chung,Industrial / Godown,49800000,KWAI TSING,22 November 2013
2017,Lot No. 303 Section A in Demarcation District No. 355,Tsuen Wan,Non Residential,280000000,TSUEN WAN,4 October 2017
2014,Aberdeen Inland Lot No. 352,38 Wong Chuk Hang Road Wong Chuk Hang,Commercial,30430000,SOUTHERN,18 July 2014
2014,Aberdeen Inland Lot No. 350,34 Wong Chuk Hang Road Wong Chuk Hang,Commercial,30930000,SOUTHERN,12 May 2014
2013,New Kowloon Inland Lot No. 5103,33 Tseuk Luk Street San Po Kong,Non Residential,42410000,WONG TAI SIN,19 December 2013
2013,New Kowloon Inland Lot No. 5559,17 Cheung Shun Street Cheung Sha Wan,Non Residential,418180000,SHAM SHUI PO,22 February 2013
2013,Rural Building Lot No. 1019,35 Barker Road The Peak,Residential R3,335980000,CENTRAL & WESTERN,3 December 2013
2019,Lot No. 313 Section A in Demarcation District No. 355 and Lot No. 313 Remaining Portion in Demarcation District No. 355,Tsuen Wan,Other Uses,1262770000,TSUEN WAN,20 March 2019
2014,Lot No. 754 in Demarcation District No. 379,16 Tsing Tai Road Tuen Mun,Residential R3,10570000,TUEN MUN,3 December 2014
2014,Kwai Chung Lot No. 5 Remaining Portion and Extensions,Container Port Road Kwai Chung,Other Uses,12390000,KWAI TSING,2 December 2014
2014,Inland Lot No. 6372,20 Peak Road The Peak,Residential R3,286180000,WAN CHAI,24 March 2014
2017,New Kowloon Inland Lot No. 4178,340-342 Fuk Wing Street 27-29 Tonkin Street and 249-263 Un Chau Street Cheung Sha Wan,Residential R1,1122700000,SHAM SHUI PO,4 January 2017
2017,Inland Lot No. 8204,25 Shan Kwong Road Happy Valley,Other Uses,147620000,WAN CHAI,11 August 2017
2017,Inland Lot No. 6681,36 Jardine's Bazaar Causeway Bay,Commercial,131230000,WAN CHAI,15 August 2017
2017,Lot No. 687 in Demarcation District No. 329,30A San Shek Wan Lantau Island,Residential R4,48650000,ISLANDS,21 July 2017
2017,Lot No. 243 Section A in Demarcation District No. 252,Tso Wo Hang Sai Kung,Residential R3,1970000,SAI KUNG,7 July 2017
2017,Lot No. 1982 in Survey District No. 2,Fei Ngo Shan Sai Kung,Residential R3,53930000,SAI KUNG,7 July 2017
2017,Kowloon Inland Lot No. 2320,301 301A-C Prince Edward Road West Kowloon City,Residential R2,212440000,KOWLOON CITY,31 May 2017
2017,Kowloon Inland Lot No. 2341 Section E,195 Prince Edward Road West Kowloon City,Residential R2,179730000,KOWLOON CITY,1 June 2017
2017,Lot No. 535 in Demarcation District No. 210,Pak Sha Wan Sai Kung,Commercial,3300000,SAI KUNG,29 May 2017
2017,Tseung Kwan O Town Lot No. 70 Section A and Tseung Kwan O Town Lot No. 70 Remaining Portion,1 Lohas Park Road Tseung Kwan O,Commercial / Residential,24920000,SAI KUNG,26 January 2017
2013,Lot No. 1221 Section A in Demarcation District No. 453,382-392 Castle Peak Road and 27-37 Mei Wan Street Tsuen Wan,Industrial / Godown,103900000,TSUEN WAN,5 March 2013
2020,New Kowloon Inland Lot No. 6379,Unit 2 on Penthouse Floor of Block 2 The Caldecott 1 Caldecott Road Cheung Sha Wan,Residential R3,690000,SHAM SHUI PO,29 June 2020
2019,Aberdeen Inland Lot No. 467,Heung Yip Road Wong Chuk Hang,Residential R1 (For Site D only),6757740000 (For Site D only),SOUTHERN,17 December 2019
2013,New Kowloon Inland Lot No. 5881,6 Wang Kwong Road Kowloon Bay,Non Residential,1334580000,KWUN TONG,3 April 2013
2015,Kowloon Inland Lot No. 2657 Section D Subsection 1 Kowloon Inland Lot No. 2657 Section D Subsection 2 and Kowloon Inland Lot No. 2657 Section D Remaining Portion,109-135 Kadoorie Avenue Kowloon Tong,Residential R3,97600000,KOWLOON CITY,18 February 2015
2015,Lot No. 1503 in Demarcation District No. 243,20 and 22 Pik Sha Road Silverstrand Sai Kung,Residential R3,1100000,SAI KUNG,30 September 2015
2015,Rural Building Lot No. 442,45 Tai Tam Road Stanley,Residential R3,307660000,SOUTHERN,14 September 2015
2015,Rural Building Lot No. 757,138 and 138A Pok Fu Lam Road Pok Fu Lam,Residential R3,67370000,SOUTHERN,11 September 2015
2021,Kowloon Marine Lot No. 27 Section A Remaining Portion and the Extension thereto,50 Po Loi Street Hung Hom,Industrial / Commercial / Multi-Storey Car Park / Petrol Filling Station,90510000,KOWLOON CITY,26 February 2021
2021,Kowloon Inland Lot No. 7456 Kowloon Inland Lot No. 7455 Kowloon Inland Lot No. 6466 Section C Kowloon Inland Lot No. 7453,6 8 10 and 12 Maidstone Road To Kwa Wan,Residential R1,184840000,KOWLOON CITY,11 January 2021
2021,Shau Kei Wan Inland Lot No. 778,3 A Kung Ngam Village Road Shau Kei Wan,Other Uses,165070000,EASTERN,1 February 2021
2021,Kowloon Inland Lot No. 4164 Section C Subsection 1 and Kowloon Inland Lot No. 4164 Section C Remaining Portion,8 and 10 Lomond Road Kowloon City,Residential R2,265280000,KOWLOON CITY,10 February 2021
2021,Kwun Tong Inland Lot No. 534,7 Lai Yip Street Kwun Tong,Non Residential,554570000,KWUN TONG,5 February 2021
2021,Kwun Tong Inland Lot No. 435,368 Kwun Tong Road and 34 Chong Yip Street Kwun Tong,Non Residential,780000000,KWUN TONG,18 March 2021
2020,Lot No. 2148 in Demarcation District No. 121,13 Ping Tong Street South Tong Yan San Tsuen Yuen Long,Industrial / Godown,2870000,YUEN LONG,28 December 2020
2018,Tai Po Town Lot No. 155,1 Nin Ming Road Sai Kung North,Institution / Community,15910000,TAI PO,16 April 2018
2015,New Kowloon Inland Lot No. 4455 Remaining Portion,Workshop C Ground Floor including the Glass Panel enclosing the Shop Front and two Air-conditioning platforms on First Floor 1 Tai Yau Street San Po Kong,Non Residential,38760000,WONG TAI SIN,11 February 2015
2015,New Kowloon Inland Lot No. 821 Section A and New Kowloon Inland Lot No. 821 Remaining Portion,2 York Road Kowloon Tong,Residential R3,44572000,KOWLOON CITY,3 February 2015
2015,New Kowloon Inland Lot No. 806,145 Waterloo Road Kowloon Tong,Residential R3,25428000,KOWLOON CITY,3 February 2015
2015,Lot No. 236 in Demarcation District Ngong Ping,Ngong Ping Lantau Island,Other Uses,440000,ISLANDS,2 February 2015
2016,Inland Lot No. 1338 Remaining Portion Inland Lot No. 1364 and Inland Lot No. 1702 and Extension,2-4 Village Road Happy Valley,Virtually Unrestricted,1340000,WAN CHAI,21 March 2016
2016,Castle Peak Town Lot No. 18 and Tuen Mun Town Lot No. 99,Tuen Mun Heung Sze Wui Road Tuen Mun,Residential R1,209980000,TUEN MUN,5 February 2016
2018,Kowloon Inland Lot No. 6005 Kowloon Inland Lot No. 6035 Remaining Portion Kowloon Inland Lot No. 6036 Remaining Portion Kowloon Inland Lot No. 6037 Remaining Portion and Kowloon Inland Lot No. 6038 Remaining Portion,139 141 143 145 and 147 Argyle Street Kowloon City,Residential R2 / Institution / Community,2020990000,KOWLOON CITY,6 March 2018
2018,New Kowloon Inland Lot No. 3851 Section D and New Kowloon Inland Lot No. 3851 Section E,48A and 50 La Salle Road Kowloon Tong,Residential R3,65570000,KOWLOON CITY,29 March 2018
2018,Tsuen Wan Town Lot No. 313 Remaining Portion,Low Block 23/39 Pak Tin Par Street Tsuen Wan,Commercial / Other Uses,182470000,TSUEN WAN,5 March 2018
